id	milestone	repo	title	depends_on	effort	smoke	finding_ids	issue_refs
LH-11	M3	LootHistory	Launcher: adopt Launcher minor 2's isEnabled/disabledLine gate; the tooltip uses NS.BRAND and shows the disabled line when off	RV-LH	S	yes	LootHistory-R-13	
LH-12	M3	LootHistory	defaults declare schemaVersion 0; the runner owns the stamp (savedvariables-§1, v2.65.0)	RV-LH,WS-03	S	yes	LootHistory-A-18	
LH-13	M3	LootHistory	The minimap row's CLI path reads in its own shown sense: minimap.hide -> minimap.shown (launcher-§3, v2.65.0)	RV-LH,LH-12,WS-06	M	yes		
LH-14	M3	LootHistory	Adopt the v1.56.0 write-seam refusal contract (Slash minor 15) and restate the scheduleTimer contract (OptionsWidgets minor 31)	RV-LH	S			
LH-15	M3	LootHistory	Schema seam: declare writeThrough {settings.enabled}; the host stub gains writeThrough storage and the full SetMany (Schema minor 2 parity)	RV-LH,LH-13,LK-22	M			
LH-16	M3	LootHistory	Degraded Slash stub: the refusal line from the verbatim DISABLED_LINE_FORMAT, enable/disable write through (WS-02 route a), and a counted resetall line	RV-LH,LH-15	M	yes	LootHistory-R-05,LootHistory-R-14	
LH-17	M3	LootHistory	Route every event registration through Core.SafeRegisterEvent with an addon-owned rejected list; mirror LK-10 in the degraded NS.Format	RV-LH,LH-01,LH-02,LH-05,LK-11	M	yes	LootHistory-A-03	
LH-18	M3	LootHistory	The loot hot path reuses one gate-config table instead of allocating one per CHAT_MSG_LOOT	RV-LH,LH-17	S		LootHistory-R-16	
LH-19	M3	LootHistory	Measure, then memoize the AH priority-tag parse and bucket accumulateTime's date() calls	RV-LH	S		LootHistory-R-06	
LH-20	M3	LootHistory	Stop re-testing the library's DebugLog formatters; the degraded stub's formatters carry no library format string	RV-LH	S		LootHistory-R-07,LootHistory-R-08	
LH-21	M3	LootHistory	Item seam tests use the 11.1.5+ \|cnIQ4: link shape, keeping one legacy \|cff case	RV-LH	S	yes		
LH-22	M3	LootHistory	Surface-parity cases for the Env, Item, Media, Pool and Lifecycle seams	RV-LH,LH-15,LH-17	M		LootHistory-A-11	
LH-23	M3	LootHistory	Tests send and subscribe bus messages by NS.MSG constant, never by literal	RV-LH	S		LootHistory-A-09	
LH-24	M3	LootHistory	Resolvable citations: disabled-§7 test names become slash-commands-§7 step N, and .pkgmeta cites packaging	RV-LH	S		LootHistory-A-10	
LH-25	M3	LootHistory	Chat lines hand their values to the shared printer's Format instead of pre-formatting	RV-LH,LH-16	S		LootHistory-A-21	
LH-26	M3	LootHistory	Delete the dead global GetAddOnMetadata rung in the Env seam (compat applicability, v2.65.0)	RV-LH,WS-05	S			
LH-27	M3	LootHistory	Annotate every load-bearing TOC position and mark the conventional groups; restate the load-bearing set in ARCHITECTURE.md and module-map.md	RV-LH	S		LootHistory-A-04,LootHistory-A-05,LootHistory-A-06,LootHistory-A-07,LootHistory-A-16	
LH-28	M3	LootHistory	Correct the stale comments and doc citations	RV-LH,LH-01,LH-03,LH-16,LH-27	S		LootHistory-R-10,LootHistory-R-11,LootHistory-A-16	
LH-29	M3	LootHistory	Ratify the deconstruct name-matching with a localization-§4 register row	RV-LH,LH-10	S		LootHistory-A-17	
LH-30	M3	LootHistory	Spill ARCHITECTURE.md under the hub budget: the Settings schema detail to schema.md, the disabled state to disabled-state.md	RV-LH,LH-01,LH-17,LH-28,LH-29	M		LootHistory-A-08	
LH-31	M3	LootHistory	performance.md shrinks to the one-screen exempt shape; the sweep moves to combat-path-sweep.md	RV-LH,LH-01,LH-17,LH-30	S		LootHistory-A-13	
LH-32	M3	LootHistory	README Usage closes on a one-sentence configuration signpost	RV-LH,LH-16	S		LootHistory-A-14	
LH-33	M3	LootHistory	Root CLAUDE.md: the green gate before the provenance line, as documentation-§2 orders	RV-LH	S		LootHistory-A-15	
LH-34	M3	LootHistory	One consolidated re-vendor span bundle for the 25 unrecorded LibKa0s tags	RV-LH,WA-01	S		LootHistory-A-01	
LH-35	M3	LootHistory	Track the Analytics.lua peel as a GitHub issue	RV-LH	S		LootHistory-A-20	
LH-DOCS	M3	LootHistory	Sync docs, regenerate the case inventory and badge, and record a fresh automated-test bundle (perf skip reason 2)	RV-LH,LH-35	M	yes	LootHistory-A-12,LootHistory-R-20	
AT-02	M3	AbsorbTracker	Slash and profile tests stop asserting nil==nil and stop leaking per-unit writes	RV-AT	S		AbsorbTracker-R-04	
AT-03	M3	AbsorbTracker	/at profile new refuses an existing name; copy and delete check the name before AceDB sees it	RV-AT,AT-02,LK-03	S	yes	AbsorbTracker-R-01,AbsorbTracker-R-02	
AT-04	M3	AbsorbTracker	/at lock, /at unlock and /at enable\|disable echo the STORED value in the set shape and refresh the panel; the enable comment tells the truth	RV-AT,AT-03	S	yes	AbsorbTracker-R-03,AbsorbTracker-R-05	
AT-05	M3	AbsorbTracker	A profile adopt publishes POSITION/APPEARANCE/REPAINT once, not twice, on an enable edge	RV-AT	S		AbsorbTracker-R-11	
AT-06	M3	AbsorbTracker	Migration stamp per WS-03: defaults declare schemaVersion 0, the runner stamps only past a step that returned, and the profile-scoped v2 step runs for every stored profile	RV-AT,WS-03	S	yes		
AT-07	M3	AbsorbTracker	Every event registration goes through LibKa0s-Core's SafeRegister helpers; rejected names are kept and surfaced by /at debug events	RV-AT,LK-11,LK-04	M	yes	AbsorbTracker-A-12	
AT-08	M3	AbsorbTracker	Adopt Schema writeThrough {enabled, locked}; the Options stub's composers go hollow and the host copies are deleted; degraded pins become full, degraded and named-gap figures	AT-01,AT-04,RV-AT,LK-23,WS-02	M	yes	AbsorbTracker-A-02,AbsorbTracker-A-03	
AT-09	M3	AbsorbTracker	Slash degradation stub takes the LK-18 shape: DisabledLine from the verbatim library format, pinned with Kit.assertLibraryConstant; plain help rows with no FormatRow copy; the library-absent line for the schema verbs	AT-08,RV-AT,LK-18,WS-02	S	yes		
AT-10	M3	AbsorbTracker	The launcher's rung-(b) disabled gate moves into LibKa0s-Launcher minor 2's isEnabled/disabledLine	RV-AT,LK-16	S	yes		
AT-11	M3	AbsorbTracker	/at test <value> [secs] moves to /at debug hold <value> [secs], with a validated duration and honest announce	RV-AT,AT-07,WS-06	M	yes	AbsorbTracker-A-14,AbsorbTracker-A-24,AbsorbTracker-R-12	
AT-12	M3	AbsorbTracker	The minimap row's CLI path reads in the row's own sense: global.minimap.shown, inverting onto LibDBIcon's stored hide	RV-AT,WS-06	S	yes		
AT-13	M3	AbsorbTracker	Delete the test-only player aliases NS.bar / NS.statusBar / NS.valueText / NS.backdropInfo from the production namespace	RV-AT,AT-11	S		AbsorbTracker-R-13	
AT-14	M3	AbsorbTracker	Stub-surface parity cases for LibKa0s-Perf-1.0 and LibKa0s-Lifecycle-1.0	RV-AT	S		AbsorbTracker-A-10	
AT-15	M3	AbsorbTracker	Evaluate O.RenderTabbedSchema's v1.56.0 opts for the Appearance page's hand-built strip: adopt, or file a state:triaged decline	RV-AT,LK-28,WS-06	M	yes	AbsorbTracker-A-04	
AT-16	M3	AbsorbTracker	Delete the dead GetAddOnMetadata global rung; compat-layer stays Not applicable under compat's new applicability condition	RV-AT,WS-05	S		AbsorbTracker-A-15	
AT-17	M3	AbsorbTracker	Prune the eight read_globals no authored file reads	RV-AT,AT-16	S		AbsorbTracker-R-09	
AT-18	M3	AbsorbTracker	One literal each: PARENT_TITLE reads C.BRAND, and the schema printer loses its hand-typed [AT] fallback	RV-AT	S	yes	AbsorbTracker-R-08,AbsorbTracker-R-10	
AT-19	M3	AbsorbTracker	Three chat lines hand their parts to the printer; the events-frames-taint-§8 register row's count is re-measured	RV-AT,AT-11	S		AbsorbTracker-A-16	
AT-20	M3	AbsorbTracker	Annotate the five load-bearing TOC lines and the State/Data/Database group	RV-AT	S		AbsorbTracker-A-05,AbsorbTracker-A-06,AbsorbTracker-A-07,AbsorbTracker-A-08,AbsorbTracker-A-09	
AT-21	M3	AbsorbTracker	Canonical standard citations in the addon's own files (localization-§5, bare packaging and lint)	RV-AT,LK-08	S		AbsorbTracker-A-17	
AT-22	M3	AbsorbTracker	Comment and doc drift sweep: General diagram, stale figures, TOC-order claims, Suspend/Resume, file counts, module map, settings-panel row, and the documentation map's wording	RV-AT,AT-07,AT-11,AT-12	M		AbsorbTracker-R-07,AbsorbTracker-A-26,AbsorbTracker-A-18,AbsorbTracker-A-25	
AT-23	M3	AbsorbTracker	The per-unit RegisterUnitEvent frames are the events-frames-taint-§1 unit-filter carve-out, not a deviation: retire the register row	RV-AT,AT-07,AT-22	S		AbsorbTracker-A-11	
AT-24	M3	AbsorbTracker	ARCHITECTURE.md hub back under documentation-§3's spill rule: Settings Schema to docs/schema.md, Message Bus to docs/message-bus.md, the disabled-state essay to docs/lifecycle.md	RV-AT,AT-22,AT-23	M		AbsorbTracker-A-13	
AT-25	M3	AbsorbTracker	One consolidated span bundle records the 24 unrecorded LibKa0s re-vendors, v1.18.0 to v1.53.0	WS-01,WA-01,RV-AT	M		AbsorbTracker-A-01	
AT-DOCS	M3	AbsorbTracker	Close-out: sync-docs, regenerate docs/test-cases.md, record a fresh automated-test bundle, refresh the watch list, and tidy the issue store	RV-AT,AT-01,AT-02,AT-03,AT-04,AT-05,AT-06,AT-07,AT-08,AT-09,AT-10,AT-11,AT-12,AT-13,AT-14,AT-15,AT-16,AT-17,AT-18,AT-19,AT-20,AT-21,AT-22,AT-23,AT-24,AT-25	M		AbsorbTracker-A-20,AbsorbTracker-R-14,AbsorbTracker-A-19,AbsorbTracker-A-27	AbsorbTracker#25,AbsorbTracker#26,AbsorbTracker#10
PM-01	M3	PanelMaster	Schema degradation stub matches v1.56.0: SetMany, instance-id forwarding on Get/ApplyDefault, row.normalize	RV-PM,LK-22	M			
PM-02	M3	PanelMaster	Stand-down beats unlock: Canvas:Render strips the overlay while the latch is down, and the conformance suite gains the unlocked routes	RV-PM	S	yes	PanelMaster-R-01,PanelMaster-R-02	
PM-03	M3	PanelMaster	Combat visibility flips at combat start: thread the REGEN event's truth into the render, Compat.InCombat prefers UnitAffectingCombat, and fix the reversed test	RV-PM	M	yes	PanelMaster-R-03,PanelMaster-R-06	
PM-04	M3	PanelMaster	/pm recover bounds offsets in the panel's scaled space: one Util.EffectiveScale shared by the renderer and Recover	RV-PM	S	yes	PanelMaster-R-04	
PM-05	M3	PanelMaster	RenderAll releases every mismatched frame before rendering, so a profile swap of frame names never creates a duplicate named frame	RV-PM,PM-03	S	yes	PanelMaster-R-05	
PM-06	M3	PanelMaster	The Panels page's per-panel Unlock tick always shows the panel's real state	RV-PM,PM-02	S	yes	PanelMaster-R-08	PanelMaster#47
PM-07	M3	PanelMaster	One grid maximum: C.MAX_GRID becomes 64, matching the slider	RV-PM	S		PanelMaster-R-07	
PM-08	M3	PanelMaster	Every event registration goes through Core's SafeRegisterEvent with a rejected-names list the debug dump prints	RV-PM,LK-11	S		PanelMaster-A-01	
PM-09	M3	PanelMaster	Library-absent composed-row verbs follow WS-02: enable/disable write through Schema writeThrough; lock/unlock print the library-absent line; the stub's DisabledLine is pinned to the library constant	RV-PM,PM-01,LK-23,LK-18,WS-02	M	yes	PanelMaster-R-09	
PM-10	M3	PanelMaster	Migration stamp per WS-03: defaults declare schemaVersion = 0, the v1->v2 step walks every stored profile, and the docs stop claiming the stamp is undeclared	RV-PM,WS-03	M		PanelMaster-A-05,PanelMaster-A-06,PanelMaster-A-17,PanelMaster-R-09	
PM-11	M3	PanelMaster	Minimap row CLI path reads in its shown sense: global.minimap.shown, stored at minimap.hide	RV-PM,WS-06	S	yes		
PM-12	M3	PanelMaster	Wrap the bus message constants in LibKa0s-Bus-1.0's Catalog behind a stub seam, with a parity case (#52)	RV-PM,PM-09	M	yes		PanelMaster#52
PM-13	M3	PanelMaster	Surface-parity case for the Lifecycle degradation stub	RV-PM,PM-12	S		PanelMaster-A-08	
PM-14	M3	PanelMaster	TOC: comment the two load-bearing positions (Util after Constants, Slash after Schema) and mark the conventional groups	RV-PM,PM-12	S		PanelMaster-A-02,PanelMaster-A-03	
PM-15	M3	PanelMaster	Issue store and register re-check: re-decide the architecture-§5 trigger and close the five issues whose premises are resolved	RV-PM	S		PanelMaster-A-07,PanelMaster-A-19	PanelMaster#19,PanelMaster#20,PanelMaster#22,PanelMaster#23,PanelMaster#24,PanelMaster#49
PM-17	M3	PanelMaster	Restore the two frozen specs' 'catalogued' now that the kit skips docs/superpowers/	RV-PM,LK-07	S		PanelMaster-A-09	
PM-18	M3	PanelMaster	One consolidated re-vendor span bundle for the 27 tags vendored without a record (v1.16.0 .. v1.54.2)	WS-01,WA-01,RV-PM	S		PanelMaster-A-15	
PM-19	M3	PanelMaster	Correct the remaining stale comments and doc sentences: printer home, AceConsole embed, and the PLAYER_ENTERING_WORLD rationale	RV-PM,PM-10	S		PanelMaster-R-09	
PM-20	M3	PanelMaster	Write docs/compat-layer.md for the eight Compat shims and flip the map row	RV-PM,PM-03	S		PanelMaster-A-04	PanelMaster#53
PM-21	M3	PanelMaster	Restore docs/ARCHITECTURE.md to the hub shape: spill the schema narrative to schema.md, collapse retired-row prose, canonical headings	RV-PM,PM-15,PM-20	M		PanelMaster-A-10	
PM-22	M3	PanelMaster	Inventory sweep: module-map covers every test and tool file, and every stale count and comment is re-derived	RV-PM,PM-13,PM-21	M		PanelMaster-A-11,PanelMaster-A-12	
PM-23	M3	PanelMaster	DEPENDENCIES.md cites the kit by function name as well as by re-derived line	RV-PM	S		PanelMaster-A-13	
PM-24	M3	PanelMaster	README: no angle-bracket placeholders, Usage ends on the configuration pointer, one disabled-state paragraph	RV-PM,PM-11	S		PanelMaster-A-14	
PM-DOCS	M3	PanelMaster	Sync docs, regenerate the case inventory and badge, and record a fresh automated-test bundle (no version bump)	RV-PM,PM-01,PM-02,PM-03,PM-04,PM-05,PM-06,PM-07,PM-08,PM-09,PM-10,PM-11,PM-12,PM-13,PM-14,PM-15,PM-17,PM-18,PM-19,PM-20,PM-21,PM-22,PM-23,PM-24,LK-09,LK-33	M		PanelMaster-A-18	
PC-01	M3	PrettyChat	Carry the v1.56.0 stub surfaces: Core SafeRegister* bodies, and the Schema instance stub's SetMany, normalize and instanceId forwarding	RV-PC,LK-11	M			
PC-02	M3	PrettyChat	Slash v15 / kit 26 contract: the degraded DisabledLine is built from the library's verbatim format, pinned with Kit.assertLibraryConstant; pin CliSet's refusal echo	RV-PC,LK-18	S			
PC-03	M3	PrettyChat	Migration runner: profile-scoped steps run on every stored profile, and the stamp advances only past a step that succeeded (WS-03)	RV-PC	M		PRETTYCHAT-R-03	
PC-04	M3	PrettyChat	Drop the dead Loot copies of LOOT_ITEM_CREATED_SELF/_MULTIPLE, with an idempotent v2 profile migration onto Tradeskill; no global registered twice	RV-PC,PC-03	M	yes	PRETTYCHAT-R-02	PrettyChat#4
PC-05	M3	PrettyChat	Move Schema.ResetRows onto the schema runtime's BulkRun/BulkAdd bracket (issue #18)	RV-PC,PC-01	M	yes		PrettyChat#18
PC-06	M3	PrettyChat	Page-scoped Defaults buttons per options-ui: Categories resets every category tab, and General draws a Defaults button behind the same reset-all path	RV-PC,PC-05	M	yes	PRETTYCHAT-A-02,PRETTYCHAT-A-21	
PC-07	M3	PrettyChat	NS.OriginalFormat answers the snapshot's nil instead of PrettyChat's own override when the client lacks the global	RV-PC	S		PRETTYCHAT-R-05	
PC-08	M3	PrettyChat	Degraded install: /pc test and the Test button fall back to chat when the DebugLog library is absent	RV-PC	S		PRETTYCHAT-R-06	
PC-09	M3	PrettyChat	Panel New box: parenthesize the gsub so its substitution count never reaches Schema.Set as instanceId	RV-PC,PC-06	S		PRETTYCHAT-R-07	
PC-10	M3	PrettyChat	Stale user-facing text: the Test tooltip says the console, the resetall row says every setting, and three stale comments go	RV-PC,PC-04	S	yes	PRETTYCHAT-R-04	
PC-11	M3	PrettyChat	One memoized sorted name list per category (NS.SortedStringNames) replaces four rebuild-and-sort loops	RV-PC,PC-04	S	yes	PRETTYCHAT-R-09	
PC-12	M3	PrettyChat	The combat watcher registers through Core's SafeRegisterEvents with a rejected-name record, and the event/bus docs cite the v2.65.0 carve-out and threshold	RV-PC,PC-01,LK-11	M	yes	PRETTYCHAT-A-09,PRETTYCHAT-A-08,PRETTYCHAT-A-11	
PC-13	M3	PrettyChat	Minimap row's CLI path reads in the row's own shown sense: global.minimap.hide -> global.minimap.shown (WS-06)	RV-PC,WS-06	S	yes		
PC-14	M3	PrettyChat	Declare every default once in defaults/Profile.lua: NS.GlobalDefaults and NS.GeneralDefaults replace the copies in Database, Override and the Master spec	RV-PC,PC-03,PC-13	M		PRETTYCHAT-A-19	
PC-15	M3	PrettyChat	Delete the dead legacy GetAddOnMetadata rung, and cite compat's applicability condition in the compat-layer row (WS-05)	RV-PC,WS-05	S		PRETTYCHAT-A-18	
PC-16	M3	PrettyChat	Self-naming file headers on the eleven files that lack one, and an idempotent NS.Schema publish	RV-PC,PC-14	S		PRETTYCHAT-A-20,PRETTYCHAT-A-25	
PC-17	M3	PrettyChat	Delete the 12 unused globals from .luacheckrc	RV-PC	S		PRETTYCHAT-R-08	
PC-18	M3	PrettyChat	TOC: at-line comments on the four load-bearing lines, conventional-position notes on # Core/# Modules/# Settings, and the load-order doc aligned	RV-PC	S	yes	PRETTYCHAT-A-03,PRETTYCHAT-A-04,PRETTYCHAT-A-05,PRETTYCHAT-A-06,PRETTYCHAT-A-24	
PC-19	M3	PrettyChat	Move the authored generator to tools/split_globalstrings.py, repo-root relative, with tools/ packaged out	RV-PC	S		PRETTYCHAT-A-07	
PC-20	M3	PrettyChat	Doc and comment drift: the General-page description, the Slash minor, the 40/60 comment, the second-reader comment, and the .pkgmeta line citations	RV-PC,PC-18,PC-06	S		PRETTYCHAT-A-10	
PC-21	M3	PrettyChat	Register hygiene: narrow the toc-file-§1 row to the brand mark, retire the debug-logging-§2 row, and re-point the dangling LIBKA0S-05 citation	RV-PC,PC-04	S		PRETTYCHAT-A-12,PRETTYCHAT-A-13,PRETTYCHAT-A-14	
PC-22	M3	PrettyChat	Document that PrettyChat rewrites the loot/currency/money chat globals for every addon (handoff H-1), with a smoke step	RV-PC	S	yes	PRETTYCHAT-R-01	
PC-23	M3	PrettyChat	performance-§12 exemption docs: performance.md shrinks to one screen with the sweep moved to a Tier-3 page, and testing.md names the exemption	RV-PC	M		PRETTYCHAT-A-16,PRETTYCHAT-A-29	
PC-24	M3	PrettyChat	DEPENDENCIES names Pillow for the logo recipe, and the README 1.5.0 row speaks to players	RV-PC	S		PRETTYCHAT-A-22,PRETTYCHAT-A-23	
PC-25	M3	PrettyChat	Record the 26 unrecorded vendored tags in one consolidated span bundle, docs/revendor/<date>-v1.18.0-v1.53.0/ (WS-01)	RV-PC,WA-01	S		PRETTYCHAT-A-01	
PC-DOCS	M3	PrettyChat	Sync docs, regenerate the test inventory and badge, and record a fresh automated-test bundle on kit 26 (no version bump, no tag)	RV-PC,PC-01,PC-02,PC-03,PC-04,PC-05,PC-06,PC-07,PC-08,PC-09,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,PC-17,PC-18,PC-19,PC-20,PC-21,PC-22,PC-23,PC-24,PC-25	M		PRETTYCHAT-A-15,PRETTYCHAT-A-17,PRETTYCHAT-A-27	
WG-02	M3	WhatGroup	Re-pin settings registration in combat to LibKa0s Options' park-and-replay (LK-25) and settle any other kit-26 dry-run red	RV-WG,LK-03	S	yes		
WG-03	M3	WhatGroup	Reopening a soft-hidden popup in combat with no capture never calls the secure teleport button's protected Hide (NO_CAPTURE sentinel)	RV-WG	M	yes	WHATGROUP-R-01,WHATGROUP-R-06	
WG-04	M3	WhatGroup	ApplyFrameAlpha honors the soft-hidden state, so a gate-declined or alpha-only reopen in combat no longer reveals a popup the launcher and Escape cannot close	RV-WG,WG-03	S	yes	WHATGROUP-R-02,WHATGROUP-R-06	
WG-05	M3	WhatGroup	Replace modules/Frame.lua's two private PLAYER_REGEN_ENABLED frames with a combat-end queue drained by the addon's AceEvent handler	RV-WG,WG-03	M	yes	WHATGROUP-A-08	
WG-06	M3	WhatGroup	Route the four event registrations through LibKa0s-Core's SafeRegisterEvent, with the rejected names in the [Init] summary	RV-WG,WG-05	M	yes	WHATGROUP-A-07	
WG-07	M3	WhatGroup	End a capture on the terminal LFG statuses timedout, invitedeclined and failed	RV-WG	S	yes	WHATGROUP-R-12	
WG-08	M3	WhatGroup	Declare global.schemaVersion = 0 so the stamp persists, and make the migration runner step-driven (savedvariables-§1 at v2.65.0)	RV-WG,WS-03	M	yes	WHATGROUP-R-03	
WG-09	M3	WhatGroup	The degraded Options stub keeps the host's real RestoreAllDefaults instead of overwriting it with a no-op	RV-WG	S		WHATGROUP-R-04	
WG-10	M3	WhatGroup	Shrink the local EventRegistry fake to the kit's recording one; the disabled survey reads kind 'callback'	RV-WG,WG-01	S		WHATGROUP-A-03	
WG-11	M3	WhatGroup	Rename the minimap row's CLI path to global.minimap.shown; storage stays LibDBIcon's minimap.hide (launcher-§3 at v2.65.0)	RV-WG,WS-06	S	yes	WHATGROUP-R-15	
WG-12	M3	WhatGroup	Adopt LibKa0s-Schema-1.0 (WhatGroup#22); on a library-absent load /wg enable, /wg disable and /wg test print the library-absent line and raise no Lua error	RV-WG,WG-08,WG-09,WG-11,LK-23	L	yes		WhatGroup#22
WG-13	M3	WhatGroup	One refusal line: the degraded Slash stub builds DisabledLine from the library's format bytes (Kit.assertLibraryConstant), and the launcher uses Launcher minor 2's isEnabled/disabledLine	RV-WG,WG-12	M	yes	WHATGROUP-A-19	
WG-14	M3	WhatGroup	Surface-parity cases for the Launcher and Lifecycle degradation stubs (testing-§8)	RV-WG,WG-12,WG-13	S		WHATGROUP-A-11	
WG-15	M3	WhatGroup	Teleport button script handlers defined once at file scope instead of three fresh closures per configure	RV-WG,WG-03,WG-05	S	yes	WHATGROUP-R-16	
WG-16	M3	WhatGroup	NS.Debug call sites pass a format and raw values instead of building the message before the call (debug-logging-§4)	RV-WG,WG-08,WG-12,WG-15	M	yes	WHATGROUP-R-05	
WG-17	M3	WhatGroup	settings/Panel.lua: drop the two unread category handles and build the landing logo path from the folder name	RV-WG	S	yes	WHATGROUP-R-13,WHATGROUP-A-21	
WG-18	M3	WhatGroup	.luacheckrc: drop six unread read_globals and exclude docs/revendor/ as the lint template does	RV-WG	S		WHATGROUP-R-11,WHATGROUP-A-20	
WG-19	M3	WhatGroup	Delete the unread 'WhatGroup is disabled' locale key and correct the locale header	RV-WG,WG-12,WG-13	S		WHATGROUP-R-10	
WG-20	M3	WhatGroup	TOC: annotate core\Compat.lua as load-bearing and core\Util.lua as conventional	RV-WG,WG-12	S		WHATGROUP-A-09	
WG-21	M3	WhatGroup	Comments tell the truth: modules/Frame.lua's stale taint and ticker comments, the wrong file homes, the drifting counts, and the malformed citations	RV-WG,WG-05,WG-13,WG-15	S		WHATGROUP-R-07,WHATGROUP-R-08,WHATGROUP-R-09,WHATGROUP-A-12,WHATGROUP-A-13	
WG-22	M3	WhatGroup	Register evidence ids resolve, the register gate can fail, and the English-only row cites localization-§1	RV-WG,WG-16,WG-19	M		WHATGROUP-A-05,WHATGROUP-A-06,WHATGROUP-A-17	
WG-23	M3	WhatGroup	## Message Bus cites the amended architecture-§4 threshold: a shell plus one feature module is below it	RV-WG,WG-05	S		WHATGROUP-A-04	
WG-24	M3	WhatGroup	compat-layer.md and debug.md document only what is WhatGroup's own	RV-WG,WG-06	M		WHATGROUP-A-14	
WG-25	M3	WhatGroup	Correct the eight docs and comment sites that drifted from the tree	RV-WG,WG-12	S		WHATGROUP-A-16	
WG-26	M3	WhatGroup	Re-check settings-panel.md and .pkgmeta against the v2.65.0 wording (Page \| Covers; the .png excluded from the package)	RV-WG	S		WHATGROUP-A-22,WHATGROUP-A-23	
WG-27	M3	WhatGroup	DEPENDENCIES.md names Python 3 + Pillow for the logo recipe and labels lizard as required at release	RV-WG	S		WHATGROUP-A-18	
WG-28	M3	WhatGroup	Bring docs/ARCHITECTURE.md under ~400 lines: spill The stand-down and the per-file load order	RV-WG,WG-01,WG-05,WG-12,WG-22,WG-23,WG-24,WG-25	M		WHATGROUP-A-15	
WG-29	M3	WhatGroup	Write the consolidated re-vendor span bundle for the 25 unrecorded LibKa0s tags (audit-review-history, WS-01 shape)	RV-WG,WA-01	S		WHATGROUP-A-10	
WG-DOCS	M3	WhatGroup	Sync the docs, regenerate docs/test-cases.md, and record a fresh automated-test bundle (no version bump)	RV-WG	M	yes	WHATGROUP-R-14,WHATGROUP-A-13	
CM-02	M3	ConsumableMaster	The local AceDB fake strips defaults on a profile switch and raises on bad Copy/Delete, as AceDB-3.0 and kit 26 do	RV-CM,LK-03	S		ConsumableMaster-R-06	
CM-03	M3	ConsumableMaster	The color validator stores a copy, so /cm reset <color> can no longer alias and empty the shipped default	RV-CM,CM-02	S	yes	ConsumableMaster-R-02	
CM-04	M3	ConsumableMaster	FlushPending replays the queued body through commitMacro, so a combat-deferred weapon-enchant macro keeps /use 16 and /use 17	RV-CM	S	yes	ConsumableMaster-R-01	
CM-05	M3	ConsumableMaster	Adopt LibKa0s-Options CreateOptionsPanel/OpenOptionsPanel (library parks and self-replays in combat); delete the host park, category-ID capture and expand walk	RV-CM,LK-25	M	yes	ConsumableMaster-R-03,ConsumableMaster-A-04	
CM-06	M3	ConsumableMaster	Flyout attribute drivers stand down with the bar and re-arm on the way up; the disabled suite reads mock.attributeDrivers	RV-CM	M	yes	ConsumableMaster-A-01,ConsumableMaster-A-09	
CM-07	M3	ConsumableMaster	Standing back up runs login's discovery pass and stale sweep (Pipeline.DiscoverAndSweep)	RV-CM	S		ConsumableMaster-R-07	
CM-08	M3	ConsumableMaster	Bare /cm bar toggles the stored flag, not the latch-inclusive IsEnabled	RV-CM	S		ConsumableMaster-R-10	
CM-09	M3	ConsumableMaster	Unlocking a switched-off bar says the bar is off; the launcher reuses RunLock and adopts the Launcher-2 isEnabled/disabledLine gate	RV-CM,LK-16	S	yes	ConsumableMaster-R-11	
CM-10	M3	ConsumableMaster	/cm enable and /cm disable print one line: drop the row's 'Master enable ON\|OFF' say	RV-CM	S		ConsumableMaster-R-12	
CM-11	M3	ConsumableMaster	One global reset act behind both doors: combat refusal inside ResetAllToDefaults, one popup, truthful help and tooltip	RV-CM	M	yes	ConsumableMaster-R-08,ConsumableMaster-R-09	
CM-12	M3	ConsumableMaster	The disabled suite's two assertions that cannot fail	RV-CM	S		ConsumableMaster-R-13	
CM-13	M3	ConsumableMaster	GetItemInfo through KCM.Compat (C_Item first, guarded global), drop the unread subType, reconcile the compat register row	RV-CM	M		ConsumableMaster-R-05,ConsumableMaster-A-18	
CM-14	M3	ConsumableMaster	Tell the truth about panel hydration while disabled: fix the comment, add a Known Limitation, file the LoadItem follow-up	RV-CM	S		ConsumableMaster-R-04	
CM-15	M3	ConsumableMaster	Every event registration through LibKa0s-Core SafeRegisterEvent, with a KCM.EVENTS list and a player-reachable rejected list	RV-CM,LK-11,LK-04,WS-04	M	yes	ConsumableMaster-A-08	
CM-16	M3	ConsumableMaster	Migration stamps per WS-03: defaults declare schemaVersion 0, the runner owns the stamp and advances it only past a step that returned	RV-CM,WS-03	S	yes		
CM-17	M3	ConsumableMaster	ConsumableMaster#39: adopt LibKa0s-Schema-1.0 (minor 2) for the settings write seam	RV-CM,CM-03,CM-11,LK-22,LK-17	L	yes		ConsumableMaster#39
CM-18	M3	ConsumableMaster	Degraded (library-absent) composed-row verbs print the library-absent line, never a Lua error or a false success; pin the Slash-stub line with Kit.assertLibraryConstant	RV-CM,CM-17,WS-02,LK-18	M	yes		
CM-19	M3	ConsumableMaster	Minimap row CLI path reads in its shown sense: global.minimap.hide -> global.minimap.shown (storage unchanged)	RV-CM,CM-17,WS-06	S	yes		
